TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME
VentasDB,dbo,Ventas,venta_id,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
VentasDB,dbo,Ventas,cliente_id,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
VentasDB,dbo,Ventas,vendedor_id,3,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
VentasDB,dbo,Ventas,fecha_venta,4,,NO,date,,,,,,0.0,,,,,,,,,
VentasDB,dbo,Ventas,total,5,,NO,decimal,,,12.0,10.0,2.0,,,,,,,,,,
